online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
625.0,2025-05-11 15:00:00,0.7623187617417524,0.2990845827291259,600,15,6,5,0,0,1
110.0,2025-05-07 13:00:00,0.5727494019667598,0.2940972071443528,650,13,2,5,0,1,0
539.0,2025-05-07 07:00:00,0.905362608193931,0.3623518145227696,600,7,2,5,0,0,1
404.0,2025-05-18 06:00:00,0.9721375278383118,0.2333394107045559,600,6,6,5,0,0,1
19.0,2025-05-05 06:00:00,0.9163674549591356,0.184779370768618,650,6,0,5,0,1,0
654.0,2025-05-20 14:00:00,0.2301148020953677,0.3187153761299919,400,14,1,5,1,0,0
787.0,2025-05-13 11:00:00,0.7918761340768596,0.3881354455102271,600,11,1,5,0,0,1
98.0,2025-05-08 23:00:00,0.5994779968516041,0.1852114353607716,400,23,3,5,1,0,0
584.0,2025-05-16 18:00:00,0.2976509463563974,0.3190949123117862,400,18,4,5,1,0,0
117.0,2025-05-16 16:00:00,0.4727812822625711,0.2963696528131544,650,16,4,5,0,1,0
643.0,2025-05-05 16:00:00,0.6271549786306632,0.5108841855145724,600,16,0,5,0,0,1
13.0,2025-05-08 03:00:00,0.9155252668900912,0.2955632387706856,650,3,3,5,0,1,0
662.0,2025-05-08 13:00:00,0.2344282345715002,0.2964330317692333,400,13,3,5,1,0,0
768.0,2025-05-06 17:00:00,0.6883208869650377,0.6359285708738166,600,17,1,5,0,0,1
38.0,2025-05-06 08:00:00,0.865857671900548,0.2782024083035961,650,8,1,5,0,1,0
13.0,2025-05-20 01:00:00,0.8382396497947548,0.2132875496876774,650,1,1,5,0,1,0
763.0,2025-05-04 17:00:00,0.8142803652033771,0.47834295749406,600,17,6,5,0,0,1
62.0,2025-05-13 09:00:00,0.8481551638668842,0.4060320210351452,650,9,1,5,0,1,0
120.0,2025-05-02 16:00:00,0.4695970094108312,0.3101538209409041,650,16,4,5,0,1,0
556.0,2025-05-10 09:00:00,0.2978418557503179,0.3310807631668723,400,9,5,5,1,0,0
148.0,2025-05-17 06:00:00,0.5351699372660356,0.3108452129218244,400,6,5,5,1,0,0
98.0,2025-05-10 13:00:00,0.569237164742984,0.2940364603604914,650,13,5,5,0,1,0
939.0,2025-05-03 18:00:00,0.751362836158609,0.3374625289407991,600,18,5,5,0,0,1
20.0,2025-05-02 02:00:00,0.8177812697017748,0.2142688888888889,650,2,4,5,0,1,0
57.0,2025-05-14 05:00:00,0.6030918509207945,0.4279058846080122,400,5,2,5,1,0,0
201.0,2025-05-19 07:00:00,0.414578785094265,0.387396313819227,400,7,0,5,1,0,0
56.0,2025-05-13 05:00:00,0.5654448790073736,0.5831119602134885,400,5,1,5,1,0,0
162.0,2025-05-08 03:00:00,0.9782734792632244,0.1412024608501118,600,3,3,5,0,0,1
32.0,2025-05-09 08:00:00,0.8802915233781228,0.291568783068783,650,8,4,5,0,1,0
654.0,2025-05-09 08:00:00,0.8148957519259059,0.3003613924860319,600,8,4,5,0,0,1
589.0,2025-05-06 22:00:00,0.8980270652666162,0.1880985029401946,600,22,1,5,0,0,1
284.0,2025-05-18 17:00:00,0.3520623376489056,0.2837845765667235,400,17,6,5,1,0,0
462.0,2025-05-09 08:00:00,0.4137353587328853,0.3437116318608053,400,8,4,5,1,0,0
657.0,2025-05-11 14:00:00,0.7057867825555206,0.3953293049881148,600,14,6,5,0,0,1
111.0,2025-05-14 23:00:00,0.5874221569056194,0.1875495448242599,400,23,2,5,1,0,0
151.0,2025-05-09 06:00:00,0.5566113273047958,0.3394732912858798,400,6,4,5,1,0,0
729.0,2025-05-20 15:00:00,0.6410983854899197,0.5445000470986063,600,15,1,5,0,0,1
688.0,2025-05-15 13:00:00,0.6676317105754038,0.4331787683903865,600,13,3,5,0,0,1
59.0,2025-05-16 09:00:00,0.8278128577829671,0.2567685465654893,650,9,4,5,0,1,0
19.0,2025-05-14 03:00:00,0.907994488547594,0.2222155768208399,650,3,2,5,0,1,0
26.0,2025-05-10 01:00:00,0.8382834702210826,0.2034369520897044,650,1,5,5,0,1,0
117.0,2025-05-20 15:00:00,0.4593774633109589,0.3125888735658603,650,15,1,5,0,1,0
565.0,2025-05-12 11:00:00,0.7062820684643655,0.5443483459921867,600,11,0,5,0,0,1
16.0,2025-05-06 06:00:00,0.8791178143682753,0.1617303089643167,650,6,1,5,0,1,0
3.0,2025-05-20 03:00:00,0.9155423766157462,0.1385135250813217,650,3,1,5,0,1,0
269.0,2025-05-01 04:00:00,0.9852741062370076,0.1882426900584795,600,4,3,5,0,0,1
494.0,2025-05-01 00:00:00,0.9628452132310305,0.3411638973866794,600,0,3,5,0,0,1
82.0,2025-05-04 20:00:00,0.5298662001520958,0.2871058544311211,650,20,6,5,0,1,0
577.0,2025-05-19 11:00:00,0.1961799421809944,0.3515542990378738,400,11,0,5,1,0,0
453.0,2025-05-01 18:00:00,0.4061004197093354,0.2885006434306353,400,18,3,5,1,0,0
22.0,2025-05-04 02:00:00,0.8844010632761846,0.1984493584493584,650,2,6,5,0,1,0
597.0,2025-05-06 12:00:00,0.2110129040180345,0.2928066233827776,400,12,1,5,1,0,0
722.0,2025-05-01 18:00:00,0.7760595224947555,0.232352585783313,600,18,3,5,0,0,1
116.0,2025-05-08 14:00:00,0.5369526244948708,0.294038962360473,650,14,3,5,0,1,0
